zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
,,1602713663,1607813844,24,"tasha.cf.","A",,"34.80.107.235"
,,1597853550,1597853807,4,"tools.tasha.cf.","A",,"34.80.107.235"
,,1609633905,1609633905,1,"www.loverjuice.pw.","A",,"34.80.107.235"
,,1560053572,1560053572,2,"www.bianmeile.tk.","A",,"34.80.107.235"
,,1716362606,1716520149,7,"tepco-nave.com.","A",,"34.80.107.235"
,,1716362606,1716526735,6,"tepco-navi.com.","A",,"34.80.107.235"
,,1716356784,1716523790,11,"tepcostell.com.","A",,"34.80.107.235"
,,1716375466,1716447445,7,"tepco-btnid.com.","A",,"34.80.107.235"
,,1716356784,1716450656,4,"tepco-cuber.com.","A",,"34.80.107.235"
,,1716362606,1716524369,9,"tepco-navie.com.","A",,"34.80.107.235"
,,1716288150,1716518267,11,"tepco-stype.com.","A",,"34.80.107.235"
,,1716356784,1716515282,8,"tepcologins.com.","A",,"34.80.107.235"
,,1716362607,1716527342,11,"tepco-navity.com.","A",,"34.80.107.235"
,,1716359486,1716516009,11,"tepco-paytep.com.","A",,"34.80.107.235"
,,1716286238,1716481022,12,"tepco-stedll.com.","A",,"34.80.107.235"
,,1716281257,1716465288,13,"tepco-steill.com.","A",,"34.80.107.235"
,,1716288606,1716446212,9,"tepco-sutype.com.","A",,"34.80.107.235"
,,1716359486,1716447446,8,"tepco-teppay.com.","A",,"34.80.107.235"
,,1716385547,1716479617,8,"tepco-cgiment.com.","A",,"34.80.107.235"
,,1716291917,1716454909,11,"tepco-loginde.com.","A",,"34.80.107.235"
,,1716291884,1716432457,14,"tepco-loguide.com.","A",,"34.80.107.235"
,,1716375466,1716455680,7,"tepco-navibtn.com.","A",,"34.80.107.235"
,,1716385548,1716523686,24,"tepco-navicgi.com.","A",,"34.80.107.235"
,,1716368321,1716480006,5,"tepco-navilog.com.","A",,"34.80.107.235"
,,1716362606,1716450264,6,"tepco-navipay.com.","A",,"34.80.107.235"
,,1716368329,1716519897,23,"tepco-navipot.com.","A",,"34.80.107.235"
,,1716474033,1716489926,4,"tepco-paytpid.com.","A",,"34.80.107.235"
,,1716286457,1716459763,15,"tepco-steduiy.com.","A",,"34.80.107.235"
,,1716281215,1716471454,12,"tepco-stilled.com.","A",,"34.80.107.235"
,,1716291549,1716480360,18,"tepco-stugute.com.","A",,"34.80.107.235"
,,1716375466,1716514715,7,"tepco-tepapay.com.","A",,"34.80.107.235"
,,1716375466,1716491540,9,"tepco-tepcpay.com.","A",,"34.80.107.235"
,,1716375466,1716525424,7,"tepco-tepepay.com.","A",,"34.80.107.235"
,,1716442769,1716442769,2,"tepco-tepipay.com.","A",,"34.80.107.235"
,,1716356784,1716447446,6,"tepcoservices.com.","A",,"34.80.107.235"
,,1716455507,1716460058,3,"post-ltpayment.com.","A",,"34.80.107.235"
,,1716385548,1716513375,7,"tepco-logincgi.com.","A",,"34.80.107.235"
,,1716368329,1716516827,5,"tepco-nabicoud.com.","A",,"34.80.107.235"
,,1716362607,1716447446,7,"tepco-naviepay.com.","A",,"34.80.107.235"
,,1716368321,1716464487,12,"tepco-naviment.com.","A",,"34.80.107.235"
,,1716297171,1716451824,10,"tepco-parklin1.com.","A",,"34.80.107.235"
,,1716375466,1716511828,9,"tepco-tepcopay.com.","A",,"34.80.107.235"
,,1716449361,1716449361,2,"tepco-tepezpay.com.","A",,"34.80.107.235"
,,1716469379,1716482905,3,"tepco-tepispay.com.","A",,"34.80.107.235"
,,1716297174,1716474683,14,"tepco-cookeilog.com.","A",,"34.80.107.235"
,,1716449360,1716449480,4,"tepco-ezmentpay.com.","A",,"34.80.107.235"
,,1716449360,1716450370,2,"tepco-ezpayment.com.","A",,"34.80.107.235"
,,1716368321,1716511841,7,"tepco-naviabout.com.","A",,"34.80.107.235"
,,1716299384,1716524459,13,"tepco-parklink1.com.","A",,"34.80.107.235"
,,1716299338,1716462931,13,"tepco-parklink2.com.","A",,"34.80.107.235"
,,1716449361,1716449366,4,"tepco-payezment.com.","A",,"34.80.107.235"
,,1716442806,1716508002,6,"tepco-paytepcig.com.","A",,"34.80.107.235"
,,1716442802,1716507999,5,"tepco-tepcgipay.com.","A",,"34.80.107.235"
,,1716434883,1716498168,12,"tepco-tepcoepay.com.","A",,"34.80.107.235"
,,1716442807,1716507999,8,"tepco-tepcoipay.com.","A",,"34.80.107.235"
,,1716469310,1716482725,7,"tepco-teplogpay.com.","A",,"34.80.107.235"
,,1716464637,1716475602,2,"tepco-tepridpay.com.","A",,"34.80.107.235"
,,1716464639,1716475603,5,"tepco-tepsidpay.com.","A",,"34.80.107.235"
,,1716449360,1716502230,10,"tepco-tepuidpay.com.","A",,"34.80.107.235"
,,1716447905,1716513935,7,"perlasgo-payment.com.","A",,"34.80.107.235"
,,1716368329,1716467670,6,"tepco-naviamount.com.","A",,"34.80.107.235"
,,1716474033,1716489925,5,"tepco-paycoidtep.com.","A",,"34.80.107.235"
,,1716385553,1716464301,9,"tepco-paymentcge.com.","A",,"34.80.107.235"
,,1716385548,1716491539,11,"tepco-paymentcgi.com.","A",,"34.80.107.235"
,,1716442807,1716514044,11,"tepco-paymentcig.com.","A",,"34.80.107.235"
,,1716434883,1716435125,3,"tepco-paymentncg.com.","A",,"34.80.107.235"
,,1716469103,1716482378,5,"tepco-tepcoidpay.com.","A",,"34.80.107.235"
,,1716449361,1716489540,4,"tepco-tepeziupay.com.","A",,"34.80.107.235"
,,1716464637,1716498972,7,"tepco-tepuridpay.com.","A",,"34.80.107.235"
,,1716385553,1716521036,9,"tepco-navicgiment.com.","A",,"34.80.107.235"
,,1716469297,1716482660,2,"tepco-teploginpay.com.","A",,"34.80.107.235"
,,1716442806,1716508000,8,"tepco-tepcgipayment.com.","A",,"34.80.107.235"